ZeroBus Number,RealPower Loss (kW),Reactive Power loss (kVAR), DG Real power(kW), Reactive Power (MVAr), Power Injection (kW)
1,202.677,135.141,0,0,0
2,192.496,129.836,2050.778,1278.206,1857.5
3,146.959,106.055,2005.331,1251.697,1857.5
4,126.777,95.39,1985.168,1238.955,1857.5
5,107.974,85.425,1966.379,1226.747,1857.5
6,70.665,53.3,1929.053,1191.528,1857.5
7,70.035,51.882,1928.458,1182.206,1857.5
8,72.981,52.748,1931.421,1189.869,1857.5
9,84.004,60.659,1942.451,1196.491,1857.5
10,97.241,70.031,1955.678,1205.306,1857.5
11,100.095,70.963,1958.527,1208.316,1857.5
12,106.099,72.926,1964.551,1214.489,1857.5
13,132.533,93.702,1990.988,1229.365,1857.5
14,143.334,107.925,2001.783,1232.004,1857.5
15,157.384,120.429,2015.838,1238.722,1857.5
16,176.229,134.188,2034.692,1250.089,1857.5
17,210.831,180.388,2069.294,1260.162,1857.5
18,231.612,196.683,2090.082,1272.796,1857.5
19,196.54,133.695,2054.894,1279.922,1857.5
20,238.114,171.154,2096.499,1300.922,1857.5
21,250.615,185.758,2108.994,1305.661,1857.5
22,274.262,217.024,2132.66,1313.499,1857.5
23,148.8,107.302,2007.193,1253.65,1857.5
24,155.473,112.572,2013.874,1258.124,1857.5
25,174.427,127.403,2032.836,1269.643,1857.5
26,69.41,52.61,1927.807,1189.559,1857.5
27,68.238,51.943,1926.659,1186.989,1857.5
28,66.254,50.241,1924.692,1167.97,1857.5
29,66.683,50.645,1925.098,1156.395,1857.5
30,69.117,51.873,1927.558,1156.641,1857.5
31,87.034,69.579,1945.465,1161.792,1857.5
32,94.144,77.866,1952.562,1166.062,1857.5
33,104.079,93.313,1962.522,1162.433,1857.5
